title,OEM,OEM Number,Description,Product Availability
WHIM Exchange Arm Controller (NEW),AMAT ,0090-91982,"AMAT Applied Materials 0090-91982 - WAFER ARM WH I/F MDL ASSY  - Wafer Handling Interface Module
Rat (WHIM) Exchange Arm Controller",In Stock
WHIM Transfer Arm (RAT),AMAT ,0090-91985,AMAT Applied Materials 0090-91985 WHIM (RAT) Transfer Arm - Wafer Handling Interface Module,In Stock
Transfer Arm Motor,AMAT ,1080-00014,AMAT 1080-00014 Transfer Arm Motor,In Stock
AMAT Moving Clip (NEW),AMAT ,0090-01918,AMAT Applied Materials 0090-01918 Moving Clip,In Stock
WIM ROBOT SAFETY CONTROLLER MDL,AMAT ,0090-93054,AMAT Applied Materials 0090-93054 - ROBOT SAFETY CONTROLLER MODULE,In Stock
WHIM Quad Rotate Controller,,3X8G,WHIM Quad Rotate Controller,In Stock
Load Port Board,AMAT ,0110-00313,AMAT Applied Materials 0110-00313 Load Port Board,In Stock
NUT ELECTRODE G2 (NEW),AMAT ,0020-06274,AMAT Applied Materials 0020-06274 Nut Electrode G2,In Stock
Graphite Beam Stop (NEW),,0020-99637,Applied Materials (AMAT) 0020-99637,In Stock
Tetrode Diver Board,AMAT ,0100-00520,AMAT 0100-00520 Tetrode Diver Board,In Stock
Graphite Beam Stop (NEW),AMAT ,0020-99636,Applied Materials (AMAT) 0020-99636 SHIELDING END LEAP II,In Stock
Cassette 200mm,AMAT ,0010-92535,AMAT Applied Materials 0010-92535 Cassette 200mm,In Stock
Quad Rotate Gripper 300mm,AMAT ,0020-25609,AMAT Applied Materials 0020-25609 Quad Rotate Gripper 300mm ,In Stock
Blade Plate 300mm,AMAT ,0020-43486,AMAT Applied Materials 0020-43486 Blade Plate 300mm,In Stock
Fixed Clips Assy (NEW),AMAT ,0040-45804,AMAT 0040-45804 Fixed Clip,In Stock
Heatsink 200mm,AMAT ,0040-07593,AMAT 0040-07593 Heatsink 200mm,In Stock
BAFFLE TURBO SOURCE,AMAT ,0020-84799,AMAT 0020-84799 BAFFLE TURBO SOURCE,In Stock
KIT SHIELD QUARTERLY,AMAT ,,KIT SHIELD QUARTERLY,In Stock
SHIELD-CAPOTS-ULE,AMAT ,,SHIELD-CAPOTS MRS,In Stock
BEAMSTOP KIT,AMAT ,,BEAMSTOP KIT,In Stock
COOLING CAN TURBO,AMAT ,,COOLING CAN TURBO,In Stock
COOLING CAN EXTRACT,AMAT ,,COOLING CAN EXTRACT ,In Stock
COOLING CAN CENTER,AMAT ,,COOLING CAN CENTER ,In Stock
CRYO GATE VALVE 4699874-0001,AMAT ,3870-90302,APPLIED MATERIALS AMAT 3870-90302 / CRYO GATE VALVE 4699874-0001,In Stock
Extraction Assembly (QUANTUM),AMAT ,0010-93038,AMAT 0010-93038 Extraction Assembly (Quantum),In Stock
COOLED TUBE ASSY LEAPII,AMAT ,9010-00678,AMAT 9010-00678 COOLED TUBE ASSY LEAPII,In Stock
Source Bushing,AMAT ,0040-99226,AMAT Source Bushing XR80 / 0040-99226,In Stock
ASSY HD PFS HEAD QUANTUM,AMAT ,0240-61414,"AMAT 0240-61414 - ASSY HD-PFS HEAD QUANTUM
In Stock (Available)",In Stock
MRS ASSY COMM PARTS,AMAT ,0010-91802,AMAT 0010-91802 MRS ASSY COMM PARTS,In Stock
Focus Lens Housing,AMAT ,0020-87805,AMAT 0020-87805 Focus Lens Housing,In Stock
ASSY FLT TUBE W/DUMP MARK II,AMAT ,0010-99078,AMAT 0010-99078 ASSY FLT TUBE W/DUMP MARK II,In Stock
APERTURE SUPPORT CAGE,AMAT ,0040-95888,AMAT 0040-95888 APERTURE SUPPORT CAGE,In Stock
ASSY TETRODE ION,AMAT ,0010-93173,AMAT ASSY TETRODE ION 0010-93173,In Stock
